name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-6,YES,0,14,21,20,34,45,26
GENE-154,YES,0,184,173,164,396,261,298
GENE-177,YES,0,4253,4428,3575,7704,9220,8998
GENE-238,YES,0,105,71,46,21,12,6
GENE-267,YES,0,15,13,13,87,115,140
GENE-316,YES,0,164,187,185,9,14,17
GENE-550,YES,0,37,30,24,27,21,27
GENE-606,YES,0,47,59,46,3,6,0
GENE-643,YES,0,60,46,53,83,96,60
GENE-664,YES,0,3,6,7,105,119,122
GENE-779,YES,0,683,534,677,347,270,308
GENE-870,YES,0,5202,5096,5315,17582,16732,17331
GENE-1030,YES,0,14,23,21,40,34,72
GENE-1061,YES,0,28,52,34,43,84,36
GENE-1116,YES,0,64,170,55,1561,1559,4105
GENE-1255,YES,0,1954,1071,1317,11773,11726,9528
GENE-1263,YES,0,191,195,162,6369,6191,6229
GENE-1343,YES,0,1199,1533,1922,2538,3631,3221
GENE-1461,YES,0,441,8336,228,0,0,373
GENE-1520,YES,0,74,12,9,37,14,16
GENE-1614,YES,0,9,8,8,38,25,33
GENE-1629,YES,0,51,46,32,21,20,15
GENE-1645,YES,0,3,4,6,35,32,33
GENE-1721,YES,0,27,31,28,14,18,13
GENE-1723,YES,0,195,121,164,86,28,99
GENE-1729,YES,0,247,212,136,42,28,63
GENE-1995,YES,0,1097,2046,1037,2888,2024,2071
GENE-2082,YES,0,167,151,168,288,247,284
GENE-2095,YES,0,20,18,17,3,2,3
GENE-2279,YES,0,80,90,89,115,94,93
GENE-2477,YES,0,453,371,547,957,1006,961
GENE-2492,YES,0,1369,1176,1151,1171,1171,1215
GENE-2626,YES,0,25,17,26,4,10,9
GENE-2702,YES,0,15,16,15,19,22,12
GENE-2767,YES,0,3004,3480,3365,21488,36447,29719
GENE-2888,YES,0,200,111,172,623,721,716
GENE-3016,YES,0,228,264,204,15,22,21
GENE-3028,YES,0,184,124,90,186,182,187
GENE-3108,YES,0,8,5,6,26,22,21
GENE-3277,YES,0,617,676,573,1516,1248,1350
GENE-3328,YES,0,23,28,36,22,18,16
GENE-3438,YES,0,241,282,336,380,435,389
GENE-3439,YES,0,558,548,520,106,197,111
GENE-3549,YES,0,146,118,129,5,3,9
GENE-3673,YES,0,19,22,21,48,49,36
GENE-3688,YES,0,966,668,723,843,586,654
GENE-3863,YES,0,399,278,334,640,629,690
GENE-4084,YES,0,27,12,3,298,0,592
GENE-4088,YES,0,4165,4979,6739,3077,3626,2442
GENE-4139,YES,0,13,11,4,49,20,35
GENE-4320,YES,0,23,29,37,38,41,41
GENE-4335,YES,0,47,38,45,20,23,40
GENE-4422,YES,0,36,45,27,7,9,18
GENE-4450,YES,0,308,402,357,526,641,591
GENE-4584,YES,0,25,19,34,10,6,4
GENE-4638,YES,0,26,28,31,104,75,83
GENE-4661,YES,0,26,14,16,7,11,1
GENE-4746,YES,0,527,440,579,936,635,784
GENE-4790,YES,0,143,138,166,50,46,61
GENE-4830,YES,0,18,162,1,4,16,0
GENE-4882,YES,0,1407,575,4510,42,275,67
GENE-4912,YES,0,428,589,442,380,536,444
GENE-4943,YES,0,27,35,28,11,7,10
GENE-5222,YES,0,12,14,14,9,6,8
GENE-5254,YES,0,745,755,748,513,432,379
GENE-5436,YES,0,137,94,170,293,314,267
GENE-5441,YES,0,476,410,495,70,72,77
GENE-5543,YES,0,21,27,17,246,227,188
GENE-5579,YES,0,174,151,195,250,157,203
GENE-5618,YES,0,5,3,5,36,24,24
GENE-5621,YES,0,82,131,104,240,288,311
GENE-5637,YES,0,431,353,376,55,42,49
GENE-5661,YES,0,6,32,57,28,20,40
GENE-5677,YES,0,2764,3016,3258,452,458,367
GENE-5678,YES,0,105,148,214,153,83,58
GENE-5686,YES,0,372,303,370,51,56,56
GENE-5716,YES,0,1592,1513,1212,6173,6665,4412
GENE-5727,YES,0,7245,6904,7624,809,711,596
GENE-5924,YES,0,331,225,321,642,693,579
GENE-5959,YES,0,1654,2496,1674,187,248,170
GENE-5998,YES,0,18,11,15,54,54,68
GENE-6118,YES,0,15,12,36,7,33,3
GENE-6166,YES,0,53,66,48,155,136,164
GENE-6224,YES,0,10,13,9,17,28,25
GENE-6323,YES,0,256,284,386,50,116,75
GENE-6441,YES,0,1004,870,818,428,394,519
GENE-6664,YES,0,446,539,543,1109,1188,1180
GENE-6723,YES,0,22,27,29,90,133,107
GENE-7007,YES,0,326,206,226,194,243,130
GENE-7060,YES,0,28,29,30,237,297,282
GENE-7148,YES,0,6,3,8,98,115,77
GENE-7218,YES,0,6,6,7,13,27,33
GENE-7230,YES,0,39,31,39,1508,1040,998
GENE-7292,YES,0,7,11,6,22,30,30
GENE-7312,YES,0,133,149,141,228,230,248
GENE-7331,YES,0,425,493,450,269,208,209
GENE-7412,YES,0,175,180,179,21,42,23
GENE-7506,YES,0,165,245,209,19,14,26
GENE-7508,YES,0,53,42,60,229,303,237
GENE-7760,YES,0,2095,2156,2282,508,582,526
GENE-7819,YES,0,214,443,305,352,299,640
GENE-7922,YES,0,114,149,148,1441,1026,2574
GENE-8001,YES,0,91,80,80,451,531,521
GENE-8006,YES,0,17,28,24,2,4,1
GENE-8051,YES,0,166,209,333,17,23,23
GENE-8058,YES,0,12,10,9,169,206,191
GENE-8093,YES,0,142,114,178,90,68,127
GENE-8245,YES,0,54,60,35,6,5,11
GENE-8280,YES,0,48,33,43,30,18,19
GENE-8448,YES,0,377,769,597,81,65,115
GENE-8485,YES,0,81,105,93,635,713,442
GENE-8633,YES,0,1445,1274,1349,3653,4334,3839
GENE-8740,YES,0,509,465,670,301,135,202
GENE-8764,YES,0,346,331,355,5109,4723,5098
GENE-8808,YES,0,671,796,822,2210,2245,2014
GENE-8831,YES,0,587,973,740,360,677,502
GENE-8865,YES,0,687,343,304,675,316,420
GENE-8902,YES,0,7,7,2,19,9,29
GENE-9013,YES,0,53,49,59,152,184,130
GENE-9048,YES,0,61,111,73,44,11,21
GENE-9188,YES,0,4,8,2,43,57,48
GENE-9441,YES,0,3,3,3,45,15,43
GENE-9448,YES,0,1240,1612,1795,4567,5964,3327
GENE-9659,YES,0,44,58,46,152,78,172
GENE-10077,YES,0,42,21,39,167,187,184
GENE-10203,YES,0,306,349,382,18,27,30
GENE-10242,YES,0,408,1336,3072,3579,2383,1202
GENE-10252,YES,0,426,468,450,601,570,430
GENE-10475,YES,0,1665,1294,853,11396,7924,8865
GENE-10503,YES,0,33,20,25,23,11,16
GENE-10536,YES,0,19,11,31,19,32,27
GENE-10585,YES,0,21,22,35,370,517,338
GENE-10589,YES,0,963,1850,1244,472,996,442
GENE-10597,YES,0,84,58,68,444,312,248
GENE-10801,YES,0,580,583,575,42,44,43
GENE-10826,YES,0,242,371,228,616,556,811
GENE-10847,YES,0,142,152,131,33,43,28
GENE-10890,YES,0,25,27,19,62,49,64
GENE-10928,YES,0,40,44,27,3,10,12
GENE-10947,YES,0,26,31,20,26,18,21
GENE-10949,YES,0,79,83,71,178,177,177
GENE-10980,YES,0,148,99,135,130,64,147
GENE-11012,YES,0,69,55,62,115,96,98
GENE-11097,YES,0,26,31,22,300,279,241
GENE-11104,YES,0,360,437,342,205,240,249
GENE-11105,YES,0,1637,1852,1427,309,238,272
GENE-11220,YES,0,34,32,31,11,33,16
GENE-11245,YES,0,61,57,53,3,1,2
GENE-11328,YES,0,30,13,19,14,16,14
GENE-11355,YES,0,3186,3578,3244,430,347,374
GENE-11378,YES,0,4314,4710,5020,6786,6841,7558
GENE-11404,YES,0,268,319,463,35,52,33
GENE-11632,YES,0,1559,2444,1759,2960,2983,1733
GENE-11707,YES,0,239,219,310,18,26,17
GENE-11756,YES,0,28,22,22,53,42,57
GENE-11931,YES,0,40,38,46,13,17,7
GENE-12021,YES,0,43,28,37,66,65,70
GENE-12320,YES,0,37,49,37,7,9,5
GENE-12389,YES,0,590,386,371,36,54,51
GENE-12399,YES,0,3,3,5,56,68,34
GENE-12433,YES,0,11085,9375,9844,152,191,181
GENE-12497,YES,0,17,26,22,63,45,117
GENE-12537,YES,0,460,466,363,1154,1747,1572
GENE-12554,YES,0,348,400,282,158,135,145
GENE-12583,YES,0,75,29,205,44,3,22
GENE-12592,YES,0,40,63,42,13,8,19
GENE-12731,YES,0,122,143,149,549,496,498
GENE-12815,YES,0,4,3,5,11,16,25
GENE-12833,YES,0,4,1,0,32,94,0
GENE-12864,YES,0,1762,1891,1758,2855,2823,2720
GENE-13006,YES,0,97,99,91,163,156,141
GENE-13033,YES,0,3,0,3,4356,0,438
GENE-13230,YES,0,3600,2828,2799,224,177,187
GENE-13276,YES,0,70,61,53,168,155,176
GENE-13544,YES,0,100,131,120,233,174,173
GENE-13571,YES,0,126,99,128,107,104,130
GENE-13739,YES,0,70,118,99,55,88,50
GENE-13802,YES,0,70,82,62,246,425,363
GENE-13814,YES,0,9,7,7,58,69,93
GENE-13908,YES,0,68,77,62,13,8,13
GENE-13988,YES,0,450,426,342,2641,3397,2591
GENE-14011,YES,0,110,85,94,68,98,89
GENE-14093,YES,0,932,866,1013,778,727,723
GENE-14100,YES,0,36,23,31,1,1,3
GENE-14113,YES,0,130,25,4,17,20,3
GENE-14151,YES,0,635,707,711,70,52,70
GENE-14173,YES,0,22,22,25,26,28,30
GENE-14242,YES,0,48,92,100,77,89,71
GENE-14257,YES,0,19,28,18,26,22,22
GENE-14504,YES,0,263,299,193,306,330,324
GENE-14533,YES,0,122,59,27,53,31,123
GENE-14632,YES,0,60,34,27,19,40,29
GENE-14659,YES,0,46,46,55,73,59,76
GENE-15107,YES,0,22,11,32,1284,1188,1276
GENE-15115,YES,0,2178,2212,2145,938,917,963
GENE-15117,YES,0,84,179,216,203,231,230
GENE-15125,YES,0,0,2,4,20,25,20
GENE-15168,YES,0,195,161,206,133,98,122
GENE-15394,YES,0,5799,4041,13250,261,541,472
GENE-15419,YES,0,1227,1151,1267,2423,2341,2548
GENE-15466,YES,0,469,608,475,692,543,543
GENE-15577,YES,0,28,28,30,85,104,95
GENE-15808,YES,0,187,176,251,310,336,320
GENE-15890,YES,0,1787,2798,2868,1188,1053,979
GENE-16035,YES,0,670,615,448,1182,1311,1162
GENE-16104,YES,0,17,32,14,2,2,2
GENE-16105,YES,0,9,0,1,134,79,128
GENE-16143,YES,0,3321,3482,3486,188,224,209
GENE-16192,YES,0,76,51,81,22,30,23
GENE-16253,YES,0,127,142,146,53,56,53
GENE-16397,YES,0,7,25,14,8,7,14
GENE-16435,YES,0,37,31,37,2,2,0
GENE-16444,YES,0,36,41,36,0,1,0
GENE-16458,YES,0,14,13,21,13,17,13
GENE-16527,YES,0,0,0,1,29,72,38
GENE-16944,YES,0,981,578,650,66,45,48
GENE-16963,YES,0,9,23,10,26,15,17
GENE-17028,YES,0,73,92,88,170,206,189
GENE-17074,YES,0,444,354,709,167,107,225
GENE-17260,YES,0,1230,1494,1306,586,607,673
GENE-17347,YES,0,390,477,370,98,145,95
GENE-17709,YES,0,620,650,638,251,193,248
GENE-17734,YES,0,817,577,756,4842,2979,4139
GENE-17739,YES,0,218,222,223,70,47,54
GENE-17740,YES,0,7,4,4,37,42,36
GENE-17774,YES,0,574,1649,1110,563,806,548
GENE-17784,YES,0,339,276,402,581,380,543
GENE-17822,YES,0,1239,1188,989,834,652,441
GENE-18125,YES,0,39,43,36,7,8,13
GENE-18144,YES,0,1078,705,1433,1311,1272,1340
GENE-18184,YES,0,1,1,2,24,24,23
GENE-18185,YES,0,1722,1413,1252,168,192,196
GENE-18191,YES,0,113,46,55,164,137,397
GENE-18309,YES,0,34,32,63,90,115,84
GENE-18436,YES,0,378,312,221,248,382,228
GENE-18457,YES,0,208,210,237,25,26,29
GENE-18585,YES,0,10,8,7,69,54,83
GENE-18641,YES,0,689,624,2083,464,138,604
GENE-18660,YES,0,798,741,706,554,474,743
GENE-18737,YES,0,46,60,53,353,349,372
GENE-18804,YES,0,1,123,864,1266,2296,833
GENE-18833,YES,0,2,2,2,47,29,23
GENE-18872,YES,0,30,37,55,22,17,20
GENE-19156,YES,0,33,27,28,7,7,6
GENE-19190,YES,0,1064,1061,1006,798,805,977
GENE-19191,YES,0,475,467,375,160,203,154
GENE-19258,YES,0,27,31,28,20,34,28
GENE-19311,YES,0,4,4,3,25,19,24
GENE-19471,YES,0,571,624,474,698,630,819
GENE-19583,YES,0,1382,757,1442,9864,6086,7802
GENE-19937,YES,0,3207,2427,2874,122,143,80
GENE-19976,YES,0,12,12,16,7,5,8
