# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "refs/agrobacterium_tumefaciens.gff" "-t" "gene" "-g" "ID" "-o" "matrix.txt" "WT_55_3.bam" "WT_67_1.bam" "WT_79_1.bam" "pssA_55_2.bam" "pssA_67_1.bam" "pssA_79_2.bam" 
Geneid	Chr	Start	End	Strand	Length	WT_55_3.bam	WT_67_1.bam	WT_79_1.bam	pssA_55_2.bam	pssA_67_1.bam	pssA_79_2.bam
gene-G6L97_RS00005	NZ_CP115841.1	100	1563	+	1464	44	68	73	95	68	86
gene-G6L97_RS00010	NZ_CP115841.1	1638	2837	-	1200	4	3	0	0	3	0
gene-G6L97_RS00015	NZ_CP115841.1	2843	3487	-	645	0	0	0	0	0	0
gene-G6L97_RS00020	NZ_CP115841.1	3505	4221	-	717	0	0	0	0	0	0
gene-G6L97_RS00025	NZ_CP115841.1	4358	5449	+	1092	0	0	0	0	0	0
gene-G6L97_RS00030	NZ_CP115841.1	5563	6198	+	636	0	0	0	0	0	0
gene-G6L97_RS00035	NZ_CP115841.1	6328	6789	-	462	37	60	96	40	43	47
gene-G6L97_RS00040	NZ_CP115841.1	6872	7453	-	582	16	19	118	18	35	43
gene-G6L97_RS00045	NZ_CP115841.1	7688	9238	-	1551	8	4	5	3	4	0
gene-G6L97_RS00050	NZ_CP115841.1	9392	10201	-	810	0	0	0	0	0	0
gene-G6L97_RS00055	NZ_CP115841.1	10211	10777	-	567	0	0	0	0	0	0
gene-G6L97_RS00060	NZ_CP115841.1	10791	11456	-	666	2	6	1	5	1	0
gene-G6L97_RS00065	NZ_CP115841.1	11706	12659	+	954	0	0	0	0	0	0
gene-G6L97_RS00070	NZ_CP115841.1	12686	12988	+	303	1	3	0	0	0	1
gene-G6L97_RS00075	NZ_CP115841.1	13054	13395	+	342	0	0	0	0	0	2
gene-G6L97_RS00080	NZ_CP115841.1	13489	14622	+	1134	0	0	0	0	0	0
gene-G6L97_RS00085	NZ_CP115841.1	14619	15479	+	861	0	0	0	0	0	0
gene-G6L97_RS00090	NZ_CP115841.1	15479	15967	+	489	0	0	0	0	0	0
gene-G6L97_RS00095	NZ_CP115841.1	16023	18254	+	2232	0	0	0	0	0	0
gene-G6L97_RS00100	NZ_CP115841.1	18350	19231	+	882	0	0	0	0	0	0
gene-G6L97_RS00105	NZ_CP115841.1	19422	22073	+	2652	1	0	0	2	0	0
gene-G6L97_RS00110	NZ_CP115841.1	22169	24997	+	2829	0	0	0	0	0	0
gene-G6L97_RS00115	NZ_CP115841.1	25005	26594	+	1590	0	0	0	0	0	0
gene-G6L97_RS00120	NZ_CP115841.1	26594	26998	+	405	0	0	0	0	0	0
gene-G6L97_RS00125	NZ_CP115841.1	27102	28166	+	1065	10	14	1	13	11	0
gene-G6L97_RS00130	NZ_CP115841.1	28282	28773	+	492	0	0	0	0	0	3
gene-G6L97_RS00135	NZ_CP115841.1	28943	29506	+	564	0	0	0	0	0	0
gene-G6L97_RS00140	NZ_CP115841.1	29528	30196	+	669	0	0	0	0	0	0
gene-G6L97_RS00145	NZ_CP115841.1	30236	30730	+	495	0	0	0	0	0	0
gene-G6L97_RS00150	NZ_CP115841.1	30800	31228	+	429	0	0	0	0	0	0
gene-G6L97_RS00155	NZ_CP115841.1	31259	32053	+	795	0	0	0	0	0	0
gene-G6L97_RS00160	NZ_CP115841.1	32118	33521	+	1404	6	7	8	33	12	5
gene-G6L97_RS00165	NZ_CP115841.1	33562	34617	+	1056	11	17	30	26	17	34
gene-G6L97_RS00170	NZ_CP115841.1	34627	35133	+	507	0	0	7	0	0	3
gene-G6L97_RS00175	NZ_CP115841.1	35149	36294	+	1146	0	0	1	0	0	0
gene-G6L97_RS00180	NZ_CP115841.1	36494	38083	+	1590	0	0	0	0	0	0
gene-G6L97_RS00185	NZ_CP115841.1	38218	38637	+	420	0	0	0	0	0	0
gene-G6L97_RS00190	NZ_CP115841.1	38826	40088	+	1263	0	0	0	0	0	0
gene-G6L97_RS00195	NZ_CP115841.1	40262	40960	+	699	0	0	0	0	0	0
gene-G6L97_RS00200	NZ_CP115841.1	40973	41872	-	900	0	0	0	0	0	0
gene-G6L97_RS00205	NZ_CP115841.1	41926	43119	-	1194	0	0	0	0	0	0
gene-G6L97_RS00210	NZ_CP115841.1	43268	43780	+	513	0	0	0	0	0	0
gene-G6L97_RS00215	NZ_CP115841.1	43828	44763	+	936	0	0	0	0	0	0
gene-G6L97_RS00220	NZ_CP115841.1	44763	45563	+	801	0	0	0	0	0	0
gene-G6L97_RS00225	NZ_CP115841.1	45579	46175	-	597	0	0	0	0	0	0
gene-G6L97_RS00230	NZ_CP115841.1	46159	47355	-	1197	0	0	0	0	0	0
gene-G6L97_RS00235	NZ_CP115841.1	47370	48224	-	855	1	2	11	3	0	9
gene-G6L97_RS00240	NZ_CP115841.1	48369	49229	+	861	0	0	0	0	0	0
gene-G6L97_RS00245	NZ_CP115841.1	49396	51741	+	2346	0	0	0	0	0	0
gene-G6L97_RS00250	NZ_CP115841.1	51813	52757	-	945	0	0	0	0	0	0
gene-G6L97_RS00255	NZ_CP115841.1	52970	53395	+	426	4	1	32	11	7	18
gene-G6L97_RS00260	NZ_CP115841.1	53452	53709	+	258	0	0	0	0	0	0
gene-G6L97_RS00265	NZ_CP115841.1	53753	54349	-	597	0	0	0	0	0	0
